"","x"
"1","101266"
"2","101123"
"3","101013"
"4","101279"
"5","101214"
"6","101115"
"7","100884"
"8","100830"
"9","100797 200404"
"10","101139"
"11","100898"
"12","100976"
"13","100943"
"14","100855"
"15","101307"
"16","101180"
"17","101308"
"18","101181"
"19","101096"
"20","101174"
"21","101230"
"22","100917"
"23","100829"
"24","100818"
"25","101363"
"26","101364"
"27","101122"
"28","101056"
"29","600754"
"30","600703"
"31","601180"
"32","600922"
"33","600901"
"34","600847"
"35","601271"
"36","601051"
"37","601272"
"38","600827"
"39","600805"
"40","601263"
"41","601197"
"42","601065"
"43","601032"
"44","601198"
"45","601099"
"46","601133"
"47","601233"
"48","601222"
"49","601112"
"50","600980"
"51","601223"
"52","601179"
"53","600981"
"54","600995"
"55","600874"
"56","302578"
"57","302335"
"58","302324"
"59","302578"
"60","200389"
"61","302335"
"62","302219"
"63","302207"
"64","302626"
"65","302219"
"66","302208"
"67","302191"
"68","200433 302528"
"69","302429"
"70","302281"
"71","302281"
"72","302480"
"73","302073"
"74","302173"
"75","302073"
"76","200415"
"77","302361"
"78","302361"
"79","200407"
"80","302154"
"81","302023"
"82","302387"
"83","302298"
"84","302154"
"85","302023"
"86","302001"
"87","302695"
"88","302387"
"89","302298"
"90","302002"
"91","302696"
"92","302124"
"93","302124"
"94","302048"
"95","101695"
"96","102103"
"97","101960"
"98","101465"
"99","101961"
"100","101840"
"101","101444"
"102","101841"
"103","101753"
"104","101511"
"105","101512"
"106","101878"
"107","101658"
"108","101824"
"109","101802"
"110","101714"
"111","101549"
"112","102160"
"113","101957"
"114","101715"
"115","102161"
"116","101936"
"117","101903"
"118","101628"
"119","101739"
"120","101791"
"121","101571"
"122","102078"
"123","101671"
"124","200402"
"125","100830"
"126","100943"
"127","101115"
"128","101013"
"129","101122"
"130","101230"
"131","101266"
"132","101279"
"133","101307"
"134","101444"
"135","101465"
"136","101511"
"137","101802"
"138","101753"
"139","101840"
"140","101903"
"141","101936"
"142","101957"
"143","600981"
"144","600922"
"145","600901"
"146","600874"
"147","302002"
"148","601223"
"149","601233"
"150","601099"
"151","601112"
"152","601180"
"153","100898"
"154","101096"
"155","601263"
"156","101174"
"157","601272"
"158","101180"
"159","101214"
"160","101549"
"161","101715"
"162","600847"
"163","600827"
"164","102078"
"165","600805"
"166","85601"
"167","85602"
"168","85638"
"169","850097"
"170","850109"
"171","850112"
"172","850113"
"173","850113"
"174","360000"
"175","360003"
"176","200609"
"177","200610"
"178","200611"
"179","200612"
"180","200613"
"181","200624"
"182","200625"
"183","200626"
"184","200627"
"185","200628"
"186","200629"
"187","200630"
"188","200631"
"189","200632"
"190","200633"
"191","200634"
"192","200635"
"193","200636"
"194","200637"
"195","200638"
"196","200639"
"197","200640"
"198","200641"
"199","200642"
"200","200643"
"201","200644"
"202","200645"
"203","200646"
"204","200647"
"205","200648"
"206","200649"
"207","200650"
"208","200651"
"209","200653"
"210","200654"
"211","200668"
"212","200669"
"213","200670"
"214","200671"
"215","200672"
"216","200673"
"217","200674"
"218","200675"
"219","200676"
"220","200677"
"221","200678"
"222","200679"
"223","200680"
"224","200681"
